ID,Sex,Date,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
872,0,42135.67708,VEHICLE THEFT,STOLEN TRUCK,Monday,INGLESIDE,0,1700 Block of SUNNYDALE AV,-122.4171448,37.71215029
873,1,42135.66667,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Monday,BAYVIEW,0,1200 Block of MARIPOSA ST,-122.3961676,37.76382349
874,0,42135.66667,FRAUD,"CREDIT CARD, THEFT BY USE OF",Monday,CENTRAL,0,900 Block of KEARNY ST,-122.405284,37.79655105
875,0,42135.66667,MISSING PERSON,MISSING JUVENILE,Monday,SOUTHERN,0,0 Block of MOSS ST,-122.4079992,37.77782417
876,1,42135.66667,KIDNAPPING,CHILD STEALING,Monday,INGLESIDE,0,100 Block of STONERIDGE LN,-122.4262221,37.71001904
877,1,42135.66667,MISSING PERSON,FOUND PERSON,Monday,SOUTHERN,0,0 Block of MOSS ST,-122.4079992,37.77782417
878,1,42135.66667,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,RICHMOND,1,6100 Block of FULTON ST,-122.4965054,37.77195265
879,1,42135.66667,OTHER OFFENSES,PROBATION VIOLATION,Monday,RICHMOND,1,6100 Block of FULTON ST,-122.4965054,37.77195265
880,0,42135.66667,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,RICHMOND,0,3700 Block of CLEMENT ST,-122.4993421,37.78129688
881,1,42135.66667,OTHER OFFENSES,FALSE PERSONATION,Monday,CENTRAL,0,900 Block of KEARNY ST,-122.405284,37.79655105
882,0,42135.66667,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Monday,RICHMOND,1,6100 Block of FULTON ST,-122.4965054,37.77195265
883,1,42135.66667,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,MISSION,0,SAN JOSE AV / 23RD ST,-122.4215191,37.75366149
884,1,42135.66667,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,CENTRAL,0,BUSH ST / MARK LN,-122.4047716,37.79066776
885,0,42135.65972,NON-CRIMINAL,COURTESY REPORT,Monday,SOUTHERN,0,800 Block of BRYANT ST,-122.4034048,37.77542071
886,0,42135.65972,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Monday,SOUTHERN,0,800 Block of BRYANT ST,-122.4034048,37.77542071
887,1,42135.65972,ASSAULT,FALSE IMPRISONMENT,Monday,SOUTHERN,0,800 Block of BRYANT ST,-122.4034048,37.77542071
888,0,42135.65625,LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Monday,CENTRAL,0,400 Block of WASHINGTON ST,-122.4007866,37.79577999
889,0,42135.65556,SECONDARY CODES,DOMESTIC VIOLENCE,Monday,MISSION,0,3100 Block of CESAR CHAVEZ ST,-122.4126011,37.74837696
890,0,42135.65556,ASSAULT,THREATS AGAINST LIFE,Monday,MISSION,0,3100 Block of CESAR CHAVEZ ST,-122.4126011,37.74837696
891,0,42135.64583,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Monday,TARAVAL,0,900 Block of HOLLOWAY AV,-122.4631316,37.72163421
892,1,42135.64583,LARCENY/THEFT,ATTEMPTED THEFT FROM A BUILDING,Monday,TARAVAL,0,1500 Block of TARAVAL ST,-122.4826711,37.74279814
893,1,42135.64583,MISSING PERSON,MISSING JUVENILE,Monday,SOUTHERN,0,100 Block of BERRY ST,-122.3923085,37.77669228
894,1,42135.63889,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Monday,CENTRAL,0,2200 Block of LEAVENWORTH ST,-122.4178548,37.80196979
895,0,42135.63194,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,BAYVIEW,0,300 Block of KANSAS ST,-122.4036529,37.76535366
896,1,42135.63125,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,MISSION,0,3000 Block of 16TH ST,-122.4200705,37.764972
897,0,42135.625,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Monday,CENTRAL,0,400 Block of GEARY ST,-122.4106997,37.78698819
898,1,42135.625,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,BAYVIEW,0,900 Block of PENNSYLVANIA AV,-122.3927443,37.75436176
899,1,42135.625,VEHICLE THEFT,STOLEN MOTORCYCLE,Monday,NORTHERN,0,300 Block of IVY ST,-122.4239222,37.77729679
900,1,42135.625,NON-CRIMINAL,LOST PROPERTY,Monday,PARK,0,300 Block of LAGUNAHONDA BL,-122.4586802,37.74815547
901,1,42135.625,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,NORTHERN,0,MCALLISTER ST / FRANKLIN ST,-122.4218931,37.77989123
902,0,42135.61875,STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING",Monday,SOUTHERN,1,MINNA ST / 5TH ST,-122.4059343,37.78229564
903,0,42135.61875,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,SOUTHERN,1,MINNA ST / 5TH ST,-122.4059343,37.78229564
904,0,42135.61875,OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,Monday,SOUTHERN,1,MINNA ST / 5TH ST,-122.4059343,37.78229564
905,1,42135.61736,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,SOUTHERN,1,1500 Block of MISSION ST,-122.4179754,37.77375094
906,0,42135.61736,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,SOUTHERN,1,1500 Block of MISSION ST,-122.4179754,37.77375094
907,0,42135.61736,WARRANTS,ENROUTE TO ADULT AUTHORITY,Monday,SOUTHERN,1,1500 Block of MISSION ST,-122.4179754,37.77375094
908,0,42135.61528,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Monday,CENTRAL,0,200 Block of POST ST,-122.4060002,37.78854062
909,1,42135.61389,LARCENY/THEFT,GRAND THEFT FROM PERSON,Monday,MISSION,0,1000 Block of VALENCIA ST,-122.4209336,37.75570245
910,0,42135.60625,NON-CRIMINAL,FIRE REPORT,Monday,TARAVAL,0,0 Block of MINERVA ST,-122.4548216,37.71568976
911,0,42135.60417,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,NORTHERN,0,1500 Block of LAGUNA ST,-122.4280017,37.78538541
912,0,42135.60417,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Monday,SOUTHERN,0,700 Block of MISSION ST,-122.4039713,37.78482831
913,0,42135.60417,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Monday,SOUTHERN,0,700 Block of MISSION ST,-122.4039713,37.78482831
914,0,42135.60417,OTHER OFFENSES,"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY",Monday,TARAVAL,0,400 Block of URBANO DR,-122.4701368,37.72462842
915,0,42135.60417,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,SOUTHERN,0,10TH ST / BRYANT ST,-122.4097388,37.7703482
916,1,42135.59792,SEX OFFENSES FORCIBLE,"CHILD ABUSE, PORNOGRAPHY",Monday,TENDERLOIN,0,500 Block of JONES ST,-122.4129991,37.78627746
917,0,42135.59792,NON-CRIMINAL,SEARCH WARRANT SERVICE,Monday,TENDERLOIN,0,500 Block of JONES ST,-122.4129991,37.78627746
918,0,42135.59722,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Monday,CENTRAL,0,STOCKTON ST / COLUMBUS AV,-122.409017,37.79948807
919,1,42135.59722,FRAUD,"CREDIT CARD, THEFT BY USE OF",Monday,CENTRAL,0,STOCKTON ST / COLUMBUS AV,-122.409017,37.79948807
920,1,42135.59722,LARCENY/THEFT,GRAND THEFT FROM PERSON,Monday,SOUTHERN,0,MISSION ST / 4TH ST,-122.4042702,37.78447885
921,0,42135.59375,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,NORTHERN,0,500 Block of POLK ST,-122.4190171,37.78193603
922,1,42135.59028,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,SOUTHERN,1,5TH ST / MARKET ST,-122.4080683,37.78399168
923,1,42135.58958,NON-CRIMINAL,AIDED CASE,Monday,TARAVAL,0,1800 Block of VICENTE ST,-122.4856038,37.73882143
924,1,42135.58958,SECONDARY CODES,JUVENILE INVOLVED,Monday,TARAVAL,0,1800 Block of VICENTE ST,-122.4856038,37.73882143
925,0,42135.58542,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,SOUTHERN,0,700 Block of MISSION ST,-122.40307,37.78526863
926,0,42135.58333,ASSAULT,INFLICT INJURY ON COHABITEE,Monday,INGLESIDE,1,0 Block of BLYTHDALE AV,-122.4176788,37.7107673
927,0,42135.58333,MISSING PERSON,MISSING ADULT,Monday,PARK,0,2100 Block of GROVE ST,-122.451993,37.77408847
928,1,42135.58333,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Monday,TARAVAL,0,3200 Block of 20TH AV,-122.4756475,37.72852806
929,1,42135.58333,NON-CRIMINAL,LOST PROPERTY,Monday,TARAVAL,0,2200 Block of 33RD AV,-122.4908167,37.7451725
930,1,42135.58333,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,TENDERLOIN,0,GROVE ST / LARKIN ST,-122.4165835,37.77865915
931,0,42135.58194,NON-CRIMINAL,LOST PROPERTY,Monday,NORTHERN,0,0 Block of HOLLIS ST,-122.4300758,37.78314259
932,1,42135.58056,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Monday,INGLESIDE,0,600 Block of TERESITA BL,-122.4457196,37.73640215
933,1,42135.57778,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,INGLESIDE,1,LOWELL ST / HANOVER ST,-122.4448406,37.70858328
934,1,42135.56944,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,BAYVIEW,1,NEWHALL ST / REVERE AV,-122.3939059,37.73378954
935,1,42135.56667,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Monday,CENTRAL,1,200 Block of KEARNY ST,-122.4038222,37.79007905
936,0,42135.5625,BURGLARY,"BURGLARY, HOT PROWL, ATTEMPTED FORCIBLE ENTRY",Monday,INGLESIDE,0,600 Block of PERALTA AV,-122.4088914,37.74178819
937,1,42135.5625,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Monday,CENTRAL,0,2300 Block of STOCKTON ST,-122.4105247,37.80744512
938,0,42135.5625,ASSAULT,THREATS AGAINST LIFE,Monday,BAYVIEW,0,3RD ST / REVERE AV,-122.3915229,37.73243239
939,1,42135.5625,ASSAULT,BATTERY,Monday,BAYVIEW,0,3RD ST / REVERE AV,-122.3915229,37.73243239
940,0,42135.56181,VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI",Monday,SOUTHERN,0,300 Block of 9TH ST,-122.410832,37.77321713
941,0,42135.55903,NON-CRIMINAL,AIDED CASE -PROPERTY FOR DESTRUCTION,Monday,RICHMOND,0,400 Block of 6TH AV,-122.4642799,37.7800333
942,0,42135.55556,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Monday,TENDERLOIN,0,100 Block of OFARRELL ST,-122.4072441,37.78656476
943,1,42135.55347,OTHER OFFENSES,RESISTING ARREST,Monday,PARK,1,MARKET ST / 17TH ST,-122.4351877,37.76267028
944,1,42135.55347,WARRANTS,ENROUTE TO ADULT AUTHORITY,Monday,PARK,1,MARKET ST / 17TH ST,-122.4351877,37.76267028
945,1,42135.55347,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Monday,PARK,1,MARKET ST / 17TH ST,-122.4351877,37.76267028
946,0,42135.54861,ROBBERY,"ROBBERY, BODILY FORCE",Monday,TENDERLOIN,0,400 Block of ELLIS ST,-122.4136093,37.78469691
947,0,42135.54653,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,CENTRAL,0,900 Block of MASON ST,-122.4108456,37.79231587
948,1,42135.54167,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Monday,INGLESIDE,0,600 Block of PERALTA AV,-122.4088914,37.74178819
949,1,42135.54167,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,NORTHERN,0,3600 Block of LYON ST,-122.4482784,37.80427189
950,0,42135.54167,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,NORTHERN,0,0 Block of PEACE PZ,-122.4296293,37.78489667
951,0,42135.54167,NON-CRIMINAL,"AIDED CASE, DOG BITE",Monday,TARAVAL,0,2000 Block of 17TH AV,-122.4739402,37.74965704
952,1,42135.54167,SUSPICIOUS OCC,SUSPICIOUS ACT TOWARDS FEMALE,Monday,BAYVIEW,0,0 Block of REUEL CT,-122.3828694,37.73664286
953,0,42135.53472,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Monday,SOUTHERN,0,800 Block of MARKET ST,-122.406521,37.78506294
954,1,42135.52708,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Monday,TARAVAL,0,800 Block of QUINTARA ST,-122.4744878,37.74866061
955,1,42135.52083,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,CENTRAL,0,1300 Block of STOCKTON ST,-122.4086469,37.79811713
956,1,42135.52083,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Monday,TENDERLOIN,0,300 Block of GOLDEN GATE AV,-122.416352,37.78160314
957,0,42135.52083,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,CENTRAL,0,CLAY ST / DRUMM ST,-122.3967737,37.79546641
958,0,42135.50694,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,TARAVAL,0,HIGUERA AV / VIDAL DR,-122.4847802,37.71844893
959,1,42135.5,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Monday,INGLESIDE,1,600 Block of PORTOLA DR,-122.4519044,37.74529934
960,0,42135.5,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,SOUTHERN,0,100 Block of 9TH ST,-122.4134733,37.77516335
961,1,42135.5,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Monday,TARAVAL,0,2200 Block of LINCOLN WY,-122.4820814,37.76514732
962,0,42135.5,FRAUD,"CREDIT CARD, THEFT BY USE OF",Monday,TARAVAL,0,0 Block of HARDING RD,-122.4977043,37.72473844
963,0,42135.5,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,TARAVAL,0,0 Block of HARDING RD,-122.4977043,37.72473844
964,1,42135.5,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,PARK,1,200 Block of CLAYTON ST,-122.4493012,37.77303449
965,1,42135.5,ASSAULT,INFLICT INJURY ON COHABITEE,Monday,PARK,1,200 Block of CLAYTON ST,-122.4493012,37.77303449
966,1,42135.5,MISSING PERSON,MISSING ADULT,Monday,BAYVIEW,0,200 Block of WILLIAMS AV,-122.3977444,37.72993469
967,0,42135.5,MISSING PERSON,FOUND PERSON,Monday,BAYVIEW,0,200 Block of WILLIAMS AV,-122.3977444,37.72993469
968,0,42135.5,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,BAYVIEW,0,2000 Block of 22ND ST,-122.4013545,37.75709746
969,1,42135.5,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,BAYVIEW,0,2000 Block of 22ND ST,-122.4013545,37.75709746
970,1,42135.5,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,TARAVAL,0,2900 Block of 26TH AV,-122.4820125,37.73340397
971,1,42135.5,ASSAULT,ELDER ADULT OR DEPENDENT ABUSE (NOT EMBEZZLEMENT OR THEFT),Monday,PARK,1,200 Block of CLAYTON ST,-122.4493012,37.77303449
972,1,42135.5,PROSTITUTION,HUMAN TRAFFICKING,Monday,BAYVIEW,0,200 Block of WILLIAMS AV,-122.3977444,37.72993469
973,0,42135.5,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,TENDERLOIN,0,HYDE ST / GOLDEN GATE AV,-122.4155082,37.78165428
974,0,42135.5,NON-CRIMINAL,FOUND PROPERTY,Monday,NORTHERN,0,FULTON ST / FILLMORE ST,-122.4315786,37.77770022
975,0,42135.5,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Monday,NORTHERN,0,GREENWICH ST / PIERCE ST,-122.4391584,37.79853205
976,1,42135.5,VEHICLE THEFT,STOLEN TRUCK,Monday,NORTHERN,0,GREENWICH ST / PIERCE ST,-122.4391584,37.79853205
977,0,42135.5,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Monday,NORTHERN,0,HERMANN ST / STEINER ST,-122.4317184,37.77003401
978,1,42135.5,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,PARK,0,GROVE ST / ASHBURY ST,-122.4478791,37.77466586
979,1,42135.49931,BURGLARY,"BURGLARY OF FLAT, UNLAWFUL ENTRY",Monday,BAYVIEW,0,1400 Block of RHODEISLAND ST,-122.4013659,37.75130744
980,0,42135.49792,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,TENDERLOIN,1,200 Block of EDDY ST,-122.4117783,37.78398056
981,1,42135.49444,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,RICHMOND,0,300 Block of 6TH AV,-122.4644198,37.7819577
982,1,42135.48958,RUNAWAY,RUNAWAY,Monday,RICHMOND,0,800 Block of EUCLID AV,-122.4584907,37.78379515
983,0,42135.48958,MISSING PERSON,FOUND PERSON,Monday,RICHMOND,0,800 Block of EUCLID AV,-122.4584907,37.78379515
984,0,42135.48958,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,BAYVIEW,0,700 Block of INNES AV,-122.3729261,37.73045996
985,0,42135.48611,NON-CRIMINAL,AIDED CASE -PROPERTY FOR DESTRUCTION,Monday,NORTHERN,0,1500 Block of BEACH ST,-122.4345615,37.80480116
986,0,42135.48611,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,MISSION,1,26TH ST / TREAT AV,-122.4126901,37.74936883
987,0,42135.47917,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Monday,PARK,0,300 Block of LAGUNAHONDA BL,-122.4586802,37.74815547
988,0,42135.47222,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Monday,SOUTHERN,1,1100 Block of FOLSOM ST,-122.4098458,37.77524071
989,0,42135.47222,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,SOUTHERN,1,1100 Block of FOLSOM ST,-122.4098458,37.77524071
990,0,42135.47222,WARRANTS,WARRANT ARREST,Monday,SOUTHERN,1,1100 Block of FOLSOM ST,-122.4098458,37.77524071
991,1,42135.46528,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,SOUTHERN,1,1200 Block of MARKET ST,-122.4154442,37.77802457
992,0,42135.46528,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,SOUTHERN,0,800 Block of BRYANT ST,-122.4034048,37.77542071
993,0,42135.45833,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,PARK,0,400 Block of ROOSEVELT WY,-122.4430314,37.76411289
994,1,42135.45833,MISSING PERSON,MISSING ADULT,Monday,SOUTHERN,0,0 Block of DORE ST,-122.413046,37.77386178
995,0,42135.45833,MISSING PERSON,FOUND PERSON,Monday,SOUTHERN,0,0 Block of DORE ST,-122.413046,37.77386178
996,0,42135.45833,FRAUD,FRAUDULENT CREDIT APPLICATION,Monday,MISSION,0,400 Block of DOLORES ST,-122.4263414,37.76257931
997,1,42135.45833,FRAUD,"CREDIT CARD, THEFT BY USE OF",Monday,MISSION,0,400 Block of DOLORES ST,-122.4263414,37.76257931
998,1,42135.45833,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,RICHMOND,0,3200 Block of BALBOA ST,-122.4935882,37.77594071
999,1,42135.45833,MISSING PERSON,MISSING JUVENILE,Monday,INGLESIDE,0,200 Block of CAYUGA AV,-122.4334219,37.73038971
1000,1,42135.45833,MISSING PERSON,FOUND PERSON,Monday,INGLESIDE,0,200 Block of CAYUGA AV,-122.4334219,37.73038971
1001,0,42135.45833,LARCENY/THEFT,THEFT OF CHECKS OR CREDIT CARDS,Monday,SOUTHERN,0,0 Block of HOWARD ST,-122.3921341,37.79169725
1002,0,42135.45833,OTHER OFFENSES,FALSE PERSONATION,Monday,MISSION,0,400 Block of DOLORES ST,-122.4263414,37.76257931
1003,0,42135.45833,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,CENTRAL,0,NORTHPOINT ST / MASON ST,-122.4137895,37.80655265
1004,0,42135.45833,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Monday,NORTHERN,0,VANNESS AV / TURK ST,-122.4206419,37.78196082
1005,0,42135.44931,WARRANTS,WARRANT ARREST,Monday,TARAVAL,1,300 Block of RANDOLPH ST,-122.4657572,37.71422854
1006,1,42135.44931,WARRANTS,PROBATION SEARCH,Monday,TARAVAL,1,300 Block of RANDOLPH ST,-122.4657572,37.71422854
1007,1,42135.44792,WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Monday,SOUTHERN,1,800 Block of BRYANT ST,-122.4034048,37.77542071
1008,1,42135.44444,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,TENDERLOIN,1,POWELL ST / OFARRELL ST,-122.4080405,37.7864094
1009,1,42135.43958,OTHER OFFENSES,TRAFFIC VIOLATION,Monday,INGLESIDE,1,MISSION ST / ROLPH ST,-122.441553,37.71575489
1010,0,42135.4375,NON-CRIMINAL,AIDED CASE -PROPERTY FOR DESTRUCTION,Monday,RICHMOND,0,400 Block of 6TH AV,-122.4642799,37.7800333
1011,0,42135.4375,NON-CRIMINAL,AIDED CASE,Monday,MISSION,0,16TH ST / MISSION ST,-122.4196718,37.76505012
1012,1,42135.43542,ASSAULT,INFLICT INJURY ON COHABITEE,Monday,SOUTHERN,1,1200 Block of MISSION ST,-122.4135835,37.77704362
1013,0,42135.42708,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,NORTHERN,1,1500 Block of PACIFIC AV,-122.420786,37.79518472
1014,0,42135.425,WEAPON LAWS,"AMMUNITION, POSS. BY PROHIBITED PERSON",Monday,MISSION,0,1000 Block of POTRERO AV,-122.4065391,37.75648641
1015,1,42135.41944,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Monday,INGLESIDE,0,0 Block of ADDISON ST,-122.4323983,37.73782181
1016,1,42135.41875,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,CENTRAL,0,500 Block of BATTERY ST,-122.4005171,37.7963439
1017,0,42135.41667,NON-CRIMINAL,FOUND PROPERTY,Monday,CENTRAL,0,2500 Block of MASON ST,-122.4138143,37.80703621
1018,0,42135.41667,NON-CRIMINAL,FOUND PROPERTY,Monday,RICHMOND,0,5600 Block of GEARY BL,-122.4799127,37.78018135
1019,0,42135.41667,ASSAULT,BATTERY,Monday,INGLESIDE,1,MISSION ST / SILVER AV,-122.431295,37.72872979
1020,1,42135.41667,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,PARK,0,OAK ST / ASHBURY ST,-122.4473145,37.77187606
1021,0,42135.41667,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Monday,RICHMOND,0,FULTON ST / 6TH AV,-122.4637499,37.77362241
1022,0,42135.41181,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Monday,MISSION,0,400 Block of VALENCIA ST,-122.4219351,37.76613439
1023,0,42135.40625,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Monday,SOUTHERN,0,500 Block of 9TH ST,-122.4077021,37.77069679
1024,1,42135.40417,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,NORTHERN,0,100 Block of OAK ST,-122.4218064,37.77518073
1025,0,42135.40417,TRESPASS,TRESPASSING,Monday,NORTHERN,0,100 Block of OAK ST,-122.4218064,37.77518073
1026,1,42135.40347,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Monday,TENDERLOIN,0,500 Block of JONES ST,-122.4129991,37.78627746
1027,1,42135.39931,ASSAULT,ASSAULT,Monday,NORTHERN,1,0 Block of MARINA BL,-122.4329516,37.80505202
1028,1,42135.39931,TRESPASS,TRESPASSING,Monday,NORTHERN,1,0 Block of MARINA BL,-122.4329516,37.80505202
1029,1,42135.39583,NON-CRIMINAL,LOST PROPERTY,Monday,SOUTHERN,0,100 Block of NEWMONTGOMERY ST,-122.4002726,37.78717897
1030,1,42135.39097,NON-CRIMINAL,AIDED CASE,Monday,TENDERLOIN,0,500 Block of JONES ST,-122.4131357,37.7862599
1031,0,42135.375,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Monday,RICHMOND,0,800 Block of 35TH AV,-122.495039,37.77299275
1032,1,42135.375,VEHICLE THEFT,STOLEN TRUCK,Monday,BAYVIEW,0,300 Block of SALINAS AV,-122.3994552,37.72146465
1033,1,42135.375,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Monday,CENTRAL,0,800 Block of LEAVENWORTH ST,-122.4153487,37.78885421
1034,1,42135.375,NON-CRIMINAL,LOST PROPERTY,Monday,NORTHERN,0,1100 Block of POST ST,-122.4207757,37.78677548
1035,1,42135.375,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Monday,NORTHERN,0,2300 Block of LOMBARD ST,-122.4401987,37.79943523
1036,1,42135.36944,OTHER OFFENSES,TRAFFIC VIOLATION,Monday,INGLESIDE,1,MISSION ST / GENEVA AV,-122.4410181,37.71645868
1037,1,42135.36736,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,INGLESIDE,1,500 Block of MONTEREY BL,-122.4469361,37.73165057
1038,0,42135.36597,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,INGLESIDE,1,SAN JOSE AV / SAINT MARYS AV,-122.4285386,37.73499402
1039,0,42135.36458,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Monday,INGLESIDE,0,300 Block of JUANITA WY,-122.4596484,37.73919894
1040,1,42135.36458,VEHICLE THEFT,STOLEN TRUCK,Monday,INGLESIDE,0,300 Block of JUANITA WY,-122.4596484,37.73919894
1041,0,42135.36111,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Monday,CENTRAL,0,200 Block of SACRAMENTO ST,-122.3983835,37.79430355
1042,0,42135.36111,TRESPASS,TRESPASSING,Monday,CENTRAL,0,200 Block of SACRAMENTO ST,-122.3983835,37.79430355
1043,1,42135.36111,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Monday,MISSION,0,2400 Block of MISSION ST,-122.4190253,37.75761347
1044,1,42135.36111,FRAUD,"CREDIT CARD, THEFT BY USE OF",Monday,MISSION,0,2400 Block of MISSION ST,-122.4190253,37.75761347
1045,1,42135.35417,NON-CRIMINAL,COURTESY REPORT,Monday,MISSION,0,1000 Block of POTRERO AV,-122.4065391,37.75648641
1046,1,42135.35417,SEX OFFENSES FORCIBLE,ASSAULT TO RAPE WITH BODILY FORCE,Monday,MISSION,0,1000 Block of POTRERO AV,-122.4065391,37.75648641
1047,1,42135.35417,MISSING PERSON,MISSING JUVENILE,Monday,TARAVAL,0,300 Block of STRATFORD DR,-122.4732937,37.71935378
1048,1,42135.35417,MISSING PERSON,FOUND PERSON,Monday,TARAVAL,0,300 Block of STRATFORD DR,-122.4732937,37.71935378
